Cities,Latitude,Longitude,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
Ovsyanka,53.58,126.91,0,RU,1572720935,75,261.97,2.66
Kailua,21.39,-157.74,20,US,1572720935,94,300.37,4.14
Iqaluit,63.75,-68.52,75,CA,1572720935,79,271.15,3.6
Yabrud,33.97,36.66,52,SY,1572720935,72,290.15,4.1
Punta Arenas,-53.16,-70.91,100,CL,1572720935,50,286.15,13.4
Guarapari,-20.67,-40.5,20,BR,1572720822,61,300.93,3.6
Warman,52.32,-106.58,40,CA,1572720936,80,276.48,5.1
Ust-Barguzin,53.41,109.03,10,RU,1572720936,78,271.69,2.68
Ponta do Sol,-20.63,-46.0,49,BR,1572720936,59,300.6,3.16
Pangoa,-12.12,-73.0,14,PE,1572720936,43,306.06,2.6
Lamu,35.77,102.37,0,CN,1572720936,38,272.56,0.17
Harper,30.3,-99.24,1,US,1572720936,27,292.15,4.1
Yellowknife,62.45,-114.38,75,CA,1572720936,92,269.82,4.1
Jamestown,-33.21,138.6,53,AU,1572720936,54,283.95,2.22
Udachnyy,66.42,112.4,90,RU,1572720936,92,262.15,3.0
Westport,41.14,-73.36,1,US,1572720819,57,285.37,3.1
Bredasdorp,-34.53,20.04,99,ZA,1572720936,52,292.15,9.8
Te Anau,-45.41,167.72,0,NZ,1572720936,90,282.38,3.37
Tuatapere,-46.13,167.69,0,NZ,1572720936,81,283.77,2.57
Henties Bay,-22.12,14.28,0,NA,1572720936,38,295.7,2.1
Leh,34.16,77.58,94,IN,1572720936,49,271.8,2.28
Panzhihua,26.59,101.72,0,CN,1572720936,94,285.52,0.31
Christchurch,-43.53,172.64,14,NZ,1572720833,87,293.15,1.0
Aykhal,65.95,111.51,90,RU,1572720937,92,262.15,3.0
Makushino,55.21,67.25,19,RU,1572720937,78,267.23,3.55
Nantucket,41.28,-70.1,1,US,1572720937,57,284.26,3.1
Castro,-42.48,-73.76,75,CL,1572720937,54,286.15,3.6
Esperance,-33.86,121.89,90,AU,1572720937,87,284.15,2.6
Huanan,46.24,130.56,0,CN,1572720937,52,269.69,5.65
Codrington,-28.95,153.24,75,AU,1572720937,93,289.82,0.64
Sioux Lookout,50.1,-91.92,75,CA,1572720937,63,271.15,7.2
Aksarka,66.56,67.8,65,RU,1572720937,86,256.16,3.4
Zyryanka,65.73,150.89,96,RU,1572720937,96,256.29,1.39
Kropotkin,45.43,40.58,0,RU,1572720937,38,275.93,3.0
Bundaberg,-24.87,152.35,40,AU,1572720937,93,292.59,1.5
Lorengau,-2.02,147.27,100,PG,1572720937,69,302.03,4.19
Tuktoyaktuk,69.44,-133.03,75,CA,1572720937,92,269.15,3.6
Tunceli,39.11,39.55,10,TR,1572720905,60,279.15,1.5
Gat,14.69,-16.54,0,SN,1572720937,40,311.15,3.1
Camacha,33.08,-16.33,40,PT,1572720938,83,296.15,6.7
Tuni,-16.67,-68.14,20,BO,1572720938,56,291.15,5.1
Mbandaka,0.05,18.26,100,CD,1572720938,86,297.14,1.11
Beringovskiy,63.05,179.32,100,RU,1572720938,87,271.05,1.7
Nishihara,35.74,139.53,75,JP,1572720938,76,289.26,3.1
Lebu,8.96,38.73,20,ET,1572720938,48,289.15,3.1
Noumea,-22.28,166.46,20,NC,1572720938,72,296.48,1.0
Tasiilaq,65.61,-37.64,100,GL,1572720938,66,269.8,5.27
Floro,61.6,5.03,0,NO,1572720938,64,279.26,2.6
New Norfolk,-42.78,147.06,58,AU,1572720938,87,282.15,3.6
Port-Gentil,-0.72,8.78,90,GA,1572720938,88,299.15,5.7
Namibe,-15.19,12.15,6,AO,1572720938,77,294.94,5.43
Wairoa,-39.04,177.43,0,NZ,1572720938,70,288.71,2.68
Katsuura,33.93,134.5,75,JP,1572720939,87,285.15,4.1
Corumba,-19.0,-57.65,40,BR,1572720939,37,313.15,4.6
Guaymas,27.92,-110.9,40,MX,1572720939,41,303.71,1.79
Qaanaaq,77.48,-69.36,90,GL,1572720939,56,261.66,3.66
Elizabeth City,36.3,-76.22,40,US,1572720939,47,291.15,2.94
Ostrovnoy,68.05,39.51,100,RU,1572720939,88,268.15,10.85
Aswan,24.09,32.9,0,EG,1572720939,19,298.6,4.25
Taozhuang,39.86,116.51,20,CN,1572720939,87,285.93,3.0
Panorama,-21.35,-51.86,37,BR,1572720939,26,309.84,2.3
Luderitz,-26.65,15.16,11,NA,1572720939,63,292.15,5.7
Dong Hoi,17.48,106.6,29,VN,1572720939,97,294.14,2.13
Deputatskiy,69.3,139.9,66,RU,1572720940,99,253.03,1.31
Kodiak,39.95,-94.76,1,US,1572720940,39,283.71,6.7
Ribeira Grande,38.52,-28.7,40,PT,1572720940,63,292.15,2.1
Novouzensk,50.46,48.14,5,RU,1572720940,47,269.72,3.16
Talnakh,69.49,88.39,100,RU,1572720940,76,250.15,4.0
Shaowu,27.34,117.49,92,CN,1572720940,78,289.55,1.17
Shubarshi,48.59,57.19,100,KZ,1572720940,50,273.74,4.78
Barrow,-38.31,-60.23,0,AR,1572720940,52,291.14,8.76
Cabo San Lucas,22.89,-109.91,5,MX,1572720940,69,303.15,3.6
Nautla,20.22,-96.78,98,MX,1572720940,94,289.84,1.0
Swan Hill,-35.34,143.56,75,AU,1572720940,95,288.62,0.41
Nikolskoye,59.7,30.79,20,RU,1572720940,86,276.15,7.0
Ulladulla,-35.36,150.48,97,AU,1572720940,82,291.15,2.79
Northam,-31.65,116.67,90,AU,1572720940,87,285.15,2.1
Knysna,-34.04,23.05,24,ZA,1572720940,77,290.15,2.1
Palauig,15.44,119.9,100,PH,1572720940,82,297.11,1.5
Avarua,-21.21,-159.78,100,CK,1572720645,69,297.15,6.7
Faanui,-16.48,-151.75,98,PF,1572720941,79,300.0,5.0
Nome,30.04,-94.42,1,US,1572720941,37,292.15,5.7
Kavaratti,10.57,72.64,0,IN,1572720661,73,300.58,0.73
Itanhaem,-24.18,-46.79,90,BR,1572720751,69,302.15,4.1
Valparaiso,41.47,-87.06,40,US,1572720672,60,281.15,7.7
Narsaq,60.91,-46.05,20,GL,1572720941,64,274.15,1.0
Redange,49.77,5.89,75,LU,1572720941,93,283.71,5.7
Hue,16.47,107.58,75,VN,1572720941,88,299.15,2.1
Huarmey,-10.07,-78.15,75,PE,1572720941,48,298.33,4.96
Mar del Plata,-46.43,-67.52,0,AR,1572720941,28,292.19,7.6
Grand Baie,-20.02,57.58,75,MU,1572720941,83,295.15,5.1
Schruns,47.08,9.92,40,AT,1572720941,100,285.37,1.0
Herat,34.35,62.22,75,AF,1572720941,93,287.15,2.6
Yongan,39.7,113.69,98,CN,1572720941,88,277.7,1.35
Novska,45.34,16.98,40,HR,1572720942,100,285.15,1.0
Miandrivazo,-19.53,45.46,38,MG,1572720942,65,300.28,2.37
Hammerfest,70.66,23.68,94,NO,1572720942,54,272.15,4.1
Kichera,55.93,110.1,96,RU,1572720942,78,268.91,0.54
Thinadhoo,0.53,72.93,8,MV,1572720942,72,300.94,1.88
Lompoc,34.64,-120.46,1,US,1572720884,12,297.59,1.68
Comodoro Rivadavia,-45.87,-67.48,0,AR,1572720924,30,294.15,7.2
Aguimes,27.91,-15.45,100,ES,1572720942,50,299.15,8.2
Cayenne,4.94,-52.33,75,GF,1572720942,70,302.15,2.6
Norman Wells,65.28,-126.83,75,CA,1572720942,85,263.15,2.6
San Rafael,-34.61,-68.33,0,AR,1572720942,18,293.72,4.29
Devrek,41.22,31.96,0,TR,1572720943,56,278.14,2.25
Kalmunai,7.42,81.82,68,LK,1572720943,78,300.79,1.61
Tiksi,71.64,128.87,76,RU,1572720943,89,252.92,3.93
Touros,-5.2,-35.46,20,BR,1572720943,55,303.15,8.2
Mahebourg,-20.41,57.7,75,MU,1572720876,83,295.15,5.1
Ibra,22.69,58.55,42,OM,1572720943,51,300.33,4.38
Upernavik,72.79,-56.15,100,GL,1572720943,65,266.32,3.91
Clyde River,70.47,-68.59,75,CA,1572720943,57,268.15,3.1
Port Hardy,50.7,-127.42,75,CA,1572720943,87,283.15,0.88
Sorong,-0.86,131.25,66,ID,1572720943,99,295.4,0.64
Purpe,64.48,76.69,100,RU,1572720943,85,257.59,1.79
Den Helder,52.96,4.76,90,NL,1572720943,87,286.48,11.8
Casa Grande,-7.74,-79.19,75,PE,1572720943,72,293.15,5.1
Kapaa,22.08,-159.32,75,US,1572720943,83,299.15,2.1
Klaksvik,62.23,-6.59,97,FO,1572720944,73,280.15,10.8
Ojinaga,29.56,-104.41,1,US,1572720944,22,291.15,4.1
Peniche,39.36,-9.38,40,PT,1572720944,93,291.15,2.6
Kahului,20.89,-156.47,40,US,1572720944,74,299.15,3.59
Ustyuzhna,58.84,36.43,84,RU,1572720944,94,273.22,3.54
Meulaboh,4.14,96.13,100,ID,1572720944,80,299.07,3.18
Vostok,46.45,135.83,99,RU,1572720944,96,263.4,1.97
Aketi,2.74,23.78,100,CD,1572720944,95,295.5,0.39
San Patricio,-26.98,-56.83,0,PY,1572720944,29,311.72,2.92
Svetlogorsk,53.14,59.15,9,RU,1572720944,78,263.15,6.0
Dharchula,29.85,80.53,100,IN,1572720944,73,278.24,1.38
Karratha,-20.74,116.85,12,AU,1572720944,53,298.44,7.5
Zhangye,38.94,100.46,43,CN,1572720944,32,279.65,1.04
Palmas Bellas,9.23,-80.09,40,PA,1572720944,83,301.48,1.5
Coihaique,-45.58,-72.07,75,CL,1572720944,50,285.15,5.1
Bethel,60.79,-161.76,1,US,1572720945,85,268.15,5.7
Ust-Nera,64.57,143.24,100,RU,1572720945,100,252.5,1.02
Pevek,69.7,170.27,43,RU,1572720945,82,261.56,2.13
Opuwo,-18.06,13.84,81,NA,1572720948,30,301.03,3.79
Sistranda,63.73,8.83,75,NO,1572720948,75,277.59,2.1
Richards Bay,-28.77,32.06,0,ZA,1572720948,80,297.03,9.87
Hithadhoo,-0.6,73.08,68,MV,1572720948,68,301.1,1.85
Cotonou,6.37,2.43,40,BJ,1572720948,83,300.15,1.5
Salalah,17.01,54.1,20,OM,1572720948,83,301.15,1.0
Rocha,-34.48,-54.34,97,UY,1572720948,89,294.21,6.15
Hamilton,43.26,-79.87,90,CA,1572720948,80,280.37,5.7
Sur,22.57,59.53,9,OM,1572720948,71,299.59,2.37
Bubaque,11.28,-15.83,29,GW,1572720948,77,301.36,5.48
Saint-Leu,-21.15,55.28,75,RE,1572720948,73,296.15,8.2
Hilo,19.71,-155.08,1,US,1572720949,64,300.37,2.6
Cidreira,-30.17,-50.22,39,BR,1572720949,89,295.11,6.67
Kapelle-op-den-Bos,51.01,4.36,40,BE,1572720949,71,286.48,7.2
Tabuny,52.78,78.79,0,RU,1572720949,47,270.98,3.06
Namatanai,-3.66,152.44,100,PG,1572720949,83,300.62,6.1
Kaeo,-35.1,173.78,21,NZ,1572720949,100,285.37,2.85
Kanniyakumari,8.08,77.57,29,IN,1572720949,79,300.43,4.15
Arlit,18.74,7.39,41,NE,1572720949,10,306.92,4.42
Tatarskaya Pishlya,54.06,44.9,93,RU,1572720949,95,271.64,4.25
Zverinogolovskoye,54.46,64.85,0,RU,1572720949,76,268.31,3.94
Quatre Cocos,-20.21,57.76,75,MU,1572720949,83,295.15,5.1
Kibala,9.11,18.35,20,TD,1572720949,66,302.15,1.03
Araouane,18.9,-3.53,100,ML,1572720949,15,303.06,3.8
Ostersund,63.18,14.64,48,SE,1572720950,92,273.71,1.0
Wladyslawowo,54.79,18.4,90,PL,1572720950,100,282.04,5.1
Zhicheng,35.04,112.59,0,CN,1572720950,44,288.0,2.25
Flin Flon,54.77,-101.88,90,CA,1572720950,69,274.15,3.1
Erenhot,43.65,111.97,34,CN,1572720950,72,279.37,1.19
Isangel,-19.55,169.27,75,VU,1572720950,83,296.15,3.1
Oromocto,45.85,-66.47,1,CA,1572720950,48,280.37,1.0
Bonavista,48.65,-53.11,73,CA,1572720950,60,282.59,5.81
Kayerkan,69.35,87.76,100,RU,1572720950,76,250.15,4.0
Emerald,-23.53,148.16,0,AU,1572720950,77,293.15,2.1
Wuda,39.5,106.72,0,CN,1572720950,50,281.0,2.53
Ventersburg,-28.08,27.14,48,ZA,1572720951,39,292.97,4.66
Lavrentiya,65.58,-170.99,0,RU,1572720951,78,268.64,2.32
Skelleftea,64.75,20.95,90,SE,1572720951,94,274.15,3.1
Corsicana,32.09,-96.46,1,US,1572720951,38,291.15,3.1
Bela,26.23,66.31,82,PK,1572720951,43,303.11,3.16
Dunedin,-45.87,170.5,0,NZ,1572720951,69,286.79,2.85
Taltal,-25.41,-70.49,0,CL,1572720951,63,289.4,2.73
Saskylakh,71.97,114.09,60,RU,1572720951,96,247.99,3.58
Sitka,37.17,-99.65,0,US,1572720951,33,284.82,6.26
Saint George,39.45,22.34,40,GR,1572720951,87,286.15,1.5
Kaka,37.35,59.62,1,TM,1572720952,53,288.88,4.56
Pangody,65.85,74.49,100,RU,1572720952,95,259.11,5.1
Eyl,7.98,49.82,0,SO,1572720952,86,301.09,1.61
Port Lincoln,-34.72,135.86,29,AU,1572720952,90,283.7,2.68
Payo,-3.75,103.64,100,ID,1572720952,84,292.93,0.97
Sarkand,45.41,79.91,100,KZ,1572720952,92,280.86,0.62
Saldanha,41.42,-6.55,100,PT,1572720952,77,285.51,7.5
Tessalit,20.2,1.01,52,ML,1572720952,15,304.13,3.73
Poli,8.48,13.24,23,CM,1572720952,59,299.58,0.27
Ayan,38.23,44.7,65,IR,1572720952,89,275.8,0.15
Port Blair,11.67,92.75,0,IN,1572720952,68,301.39,1.95
Toledo,39.86,-4.02,40,ES,1572720932,82,289.26,8.2
San Cristobal,14.68,-86.92,68,HN,1572720952,63,298.73,2.67
Vianopolis,-16.74,-48.52,97,BR,1572720952,45,301.05,4.4
Vanavara,60.35,102.28,76,RU,1572720952,83,267.99,6.99
Sao Gabriel da Cachoeira,-0.13,-67.09,75,BR,1572720953,79,302.15,4.1
Hasaki,35.73,140.83,75,JP,1572720953,87,285.15,2.6
Taoudenni,22.68,-3.98,0,ML,1572720953,16,301.41,5.21
Hualmay,-11.1,-77.61,100,PE,1572720953,57,295.58,4.61
Progreso,-34.68,-56.22,90,UY,1572720953,83,295.15,5.7
Mount Pleasant,33.16,-94.97,1,US,1572720731,33,290.93,3.1
Leshukonskoye,64.9,45.76,12,RU,1572720953,95,264.55,1.59
Ahipara,-35.17,173.16,60,NZ,1572720953,100,285.37,6.01
Saint-Augustin,45.63,-73.98,75,CA,1572720954,60,280.93,1.0
Jerome,34.75,-112.11,1,US,1572720954,8,295.37,1.5
Morgan City,29.7,-91.21,1,US,1572720843,39,290.15,3.6
Staryy Nadym,65.61,72.68,100,RU,1572720954,92,259.01,5.17
Nanortalik,60.14,-45.24,100,GL,1572720954,68,274.45,2.93
Tokonou,9.65,-9.78,50,GN,1572720954,92,296.36,1.22
Edd,13.93,41.69,30,ER,1572720954,72,301.12,3.18
Pirovskoye,57.63,92.27,60,RU,1572720954,71,269.49,3.91
Arraial do Cabo,-22.97,-42.02,20,BR,1572720954,74,300.15,10.8
Asyut,27.18,31.19,0,EG,1572720954,41,297.15,2.6
Khandyga,62.65,135.58,72,RU,1572720954,100,249.67,0.46
Sarangani,5.4,125.46,0,PH,1572720954,79,301.59,7.58
Opelika,32.65,-85.38,1,US,1572720954,31,290.37,4.6
Statesboro,32.45,-81.78,1,US,1572720955,36,293.15,3.6
Taree,-31.91,152.46,24,AU,1572720955,82,290.93,2.6
Minsk Mazowiecki,52.18,21.57,40,PL,1572720955,70,283.71,4.1
Ust-Ordynskiy,52.8,104.75,0,RU,1572720955,100,274.15,5.0
Invermere,50.51,-116.03,49,CA,1572720955,70,272.04,0.95
Airai,-8.93,125.41,77,TL,1572720955,69,291.24,1.33
Wanaka,-44.7,169.14,23,NZ,1572720955,62,280.47,4.66
Luganville,-15.51,167.18,90,VU,1572720955,88,298.15,6.7
Oranjemund,-28.55,16.43,13,ZA,1572720955,68,289.69,5.47
Pisco,-13.71,-76.2,1,PE,1572720955,30,295.37,4.1
Lupo,36.09,105.07,0,CN,1572720955,44,279.94,1.04
Billings,45.79,-108.5,75,US,1572720955,51,278.71,7.2
Balkhash,46.84,74.98,18,KZ,1572720955,33,277.74,6.34
Husavik,50.56,-96.99,66,CA,1572720956,80,274.82,2.68
Mitu,36.2,46.09,95,IR,1572720956,70,281.27,2.88
Madang,35.32,102.79,0,CN,1572720956,31,276.96,2.3
Lasa,34.92,32.53,20,CY,1572720956,77,292.15,3.1
Toora-Khem,52.47,96.11,77,RU,1572720956,92,272.56,0.82
Bambous Virieux,-20.34,57.76,75,MU,1572720956,83,295.15,5.1
Los Llanos de Aridane,28.66,-17.92,99,ES,1572720956,78,297.15,4.6
Mehamn,71.03,27.85,20,NO,1572720956,74,266.69,4.67
Tautira,-17.73,-149.15,75,PF,1572720956,70,303.15,7.2
Hongjiang,27.21,109.83,100,CN,1572720956,94,286.04,0.8
Safita,34.82,36.12,20,SY,1572720956,77,291.15,2.1
Ketchikan,55.34,-131.65,90,US,1572720956,93,284.15,4.1
Geraldton,49.72,-86.95,90,CA,1572720956,92,272.15,2.1
Bocana de Paiwas,12.79,-85.12,41,NI,1572720957,82,300.84,4.59
Berdigestyakh,62.1,126.7,86,RU,1572720957,76,261.3,4.1
Saint-Philippe,45.36,-73.48,90,CA,1572720957,56,280.93,1.72
Sulangan,11.14,123.72,80,PH,1572720957,74,301.12,1.22
Vardo,39.62,-77.74,1,US,1572720957,53,284.82,2.6
Barranca,-10.75,-77.76,98,PE,1572720957,89,290.23,6.05
Cherskiy,68.75,161.3,40,RU,1572720957,84,261.79,4.07
Teknaf,20.86,92.31,0,BD,1572720957,93,294.28,0.57
Bennington,42.88,-73.2,1,US,1572720957,42,283.15,4.1
Vila Velha,-3.71,-38.6,20,BR,1572720957,62,303.15,7.7
Kabinda,-6.14,24.49,98,CD,1572720957,87,294.31,0.64
Coahuayana,18.62,-100.35,1,MX,1572720957,63,302.3,1.08
Morant Bay,17.88,-76.41,20,JM,1572720957,62,304.15,4.6
Torbay,47.66,-52.73,75,CA,1572720957,61,282.59,7.2
Orlik,53.95,17.74,90,PL,1572720957,100,282.04,5.1
Denpasar,-8.65,115.22,75,ID,1572720957,94,298.15,2.1
Ambunti,-4.22,142.82,71,PG,1572720957,98,295.96,0.56
Kaitangata,-46.28,169.85,0,NZ,1572720957,51,288.55,6.84
Khatanga,71.98,102.47,93,RU,1572720958,90,250.38,3.87
Pogar,52.55,33.26,100,RU,1572720958,61,276.62,6.89
Kodinsk,58.6,99.18,100,RU,1572720958,73,269.28,4.41
Tarakan,3.3,117.63,100,ID,1572720958,83,298.16,3.84
Kaliua,-5.06,31.79,76,TZ,1572720958,27,299.81,0.98
Ilhabela,-23.78,-45.36,4,BR,1572720689,81,297.97,9.57
Dudinka,69.41,86.18,100,RU,1572720958,76,250.15,4.0
Santa Isabel do Rio Negro,-0.41,-65.02,99,BR,1572720958,81,302.62,0.31
Kantunil,20.8,-89.03,75,MX,1572720958,55,304.26,5.1
Xining,36.62,101.77,0,CN,1572720958,34,275.03,1.09
Komsomolskiy,67.55,63.78,100,RU,1572720958,97,258.03,3.52
Longyearbyen,78.22,15.63,20,NO,1572720958,61,264.15,6.7
Arys,42.43,68.8,98,KZ,1572720958,93,283.15,1.0
Creston,49.1,-116.52,1,CA,1572720958,51,278.71,1.0
Sambava,-14.27,50.17,91,MG,1572720958,92,294.65,0.75
Mecca,21.43,39.83,0,SA,1572720918,43,301.27,1.29
Vila,45.18,8.4,75,IT,1572720959,93,284.82,1.0
Estancia,34.76,-106.06,1,US,1572720959,29,286.48,2.6
Finschhafen,-6.6,147.85,100,PG,1572720959,79,300.06,6.41
Fort Lee,40.85,-73.97,75,US,1572720959,42,285.93,1.5
Puerto del Rosario,28.5,-13.86,20,ES,1572720959,73,298.15,3.6
Kieta,-6.22,155.63,100,PG,1572720959,84,299.19,1.8
Victoria,5.28,115.24,75,BN,1572720866,94,298.15,1.82
Ponta Delgada,37.73,-25.67,40,PT,1572720959,72,292.15,3.1
Souillac,45.6,-0.6,100,FR,1572720959,93,287.04,8.2
Roros,62.57,11.38,36,NO,1572720959,100,271.15,0.5
Riyadh,24.63,46.72,0,SA,1572720783,42,300.15,2.6
Williston,48.15,-103.62,40,US,1572720959,52,278.15,5.1
Maldonado,-34.91,-54.96,75,UY,1572720959,88,294.15,6.2
Evensk,61.92,159.24,100,RU,1572720960,91,271.33,4.73
Ahuimanu,21.44,-157.84,20,US,1572720960,94,300.37,1.47
Skjervoy,70.03,20.97,95,NO,1572720960,69,274.47,9.06
Maraba,-5.35,-49.1,75,BR,1572720960,44,309.15,3.6
Sorland,67.67,12.69,68,NO,1572720960,66,277.39,8.73
Wanning,48.64,13.53,93,AT,1572720960,93,282.59,3.1
Nakamura,35.17,136.87,40,JP,1572720960,82,288.15,5.7
Keningau,5.33,116.16,75,MY,1572720960,88,297.15,2.6
Champerico,16.38,-93.6,75,MX,1572720960,73,297.15,1.0
Caravelas,-17.73,-39.27,55,BR,1572720960,61,300.9,6.38
Falavarjan,32.56,51.51,0,IR,1572720960,33,280.15,0.84
Bagrami,34.49,69.27,40,AF,1572720960,81,285.15,0.5
Nove Mesto na Morave,49.56,16.07,90,CZ,1572720960,100,282.15,4.6
Gambela,8.25,34.59,47,ET,1572720961,89,295.56,1.15
Almaznyy,48.03,40.04,0,RU,1572720961,68,271.15,4.0
Jalu,29.03,21.55,19,LY,1572720961,53,294.51,4.88
Calbuco,-41.77,-73.13,75,CL,1572720961,62,286.15,2.1
Broome,52.47,1.45,20,GB,1572720961,93,284.82,5.7
Naron,43.52,-8.15,40,ES,1572720961,82,288.15,5.7
Shimoda,34.7,138.93,83,JP,1572720961,92,286.48,5.28
Anshun,26.25,105.93,89,CN,1572720961,92,285.39,2.64
Aloleng,16.13,119.78,89,PH,1572720961,92,296.92,1.57
Cervo,-22.19,-46.24,40,BR,1572720961,54,299.15,3.34
Ligatne,57.23,25.04,100,LV,1572720961,96,276.48,2.24
Bathsheba,13.22,-59.52,40,BB,1572720961,62,305.15,5.7
Manono,-7.3,27.4,53,CD,1572720961,67,296.23,0.79
Chicama,-7.84,-79.15,75,PE,1572720961,72,293.15,5.1
Aklavik,68.22,-135.01,75,CA,1572720962,85,269.15,3.1
Road Town,18.42,-64.62,40,VG,1572720962,66,303.15,2.6
Nurota,40.56,65.69,97,UZ,1572720962,87,284.15,2.1
Mocuba,-16.84,36.99,10,MZ,1572720962,81,295.48,2.22
Grindavik,63.84,-22.43,100,IS,1572720962,80,277.15,3.1
Baykit,61.68,96.39,97,RU,1572720962,82,264.43,4.97
Sao Miguel do Araguaia,-13.28,-50.16,28,BR,1572720962,24,312.95,0.5
Havelock,34.88,-76.9,75,US,1572720962,55,292.59,3.6
Fortuna,40.6,-124.16,20,US,1572720962,39,290.93,2.6
Milton,-35.32,150.44,97,AU,1572720962,82,291.15,2.79
Itoigawa,37.02,137.87,98,JP,1572720962,100,282.59,1.21
Kukushtan,57.65,56.5,75,RU,1572720962,92,270.15,6.0
Bandrele,-12.91,45.19,7,YT,1572720962,83,300.15,6.2
Ippy,6.26,21.2,37,CF,1572720963,72,297.24,1.25
Kloulklubed,7.04,134.26,90,PW,1572720963,94,299.15,3.6
Gimli,50.63,-96.99,66,CA,1572720903,80,274.82,2.68
Berlevag,70.86,29.09,36,NO,1572720963,73,271.91,6.25
Hofn,64.25,-15.21,100,IS,1572720963,85,277.01,15.41
Dwarka,28.58,77.04,40,IN,1572720963,83,300.93,2.1
Corralillo,22.98,-80.59,18,CU,1572720963,77,300.97,5.76
Magadan,59.56,150.8,100,RU,1572720963,90,275.87,12.2
Bandarbeyla,9.49,50.81,23,SO,1572720963,71,301.65,1.75
Fethiye,36.62,29.12,40,TR,1572720963,93,288.15,2.1
Pangnirtung,66.15,-65.72,75,CA,1572720963,85,269.15,1.0
Portland,43.66,-70.25,20,US,1572720885,49,282.15,4.1
Whitehorse,60.72,-135.06,75,CA,1572720809,86,274.26,1.51
Rabat,34.02,-6.83,40,MA,1572720963,82,293.71,4.1
Turukhansk,65.8,87.96,100,RU,1572720963,95,261.74,3.25
Zhigansk,66.77,123.37,100,RU,1572720963,86,264.34,13.61
Mizdah,31.45,12.98,34,LY,1572720964,42,293.1,2.06
Mizan Teferi,6.99,35.58,4,ET,1572720964,94,290.07,1.81
Ngudu,-2.97,33.34,40,TZ,1572720964,62,295.99,2.42
Kampli,15.41,76.6,0,IN,1572720964,88,295.78,0.6
